version,1.7.0,,,,,,,,,,,,,,
info,balls_per_over,6,,,,,,,,,,,,,
info,team,Afghanistan,,,,,,,,,,,,,
info,team,Scotland,,,,,,,,,,,,,
info,gender,male,,,,,,,,,,,,,
info,season,2021/22,,,,,,,,,,,,,
info,date,10/25/2021,,,,,,,,,,,,,
info,event,ICC Men's T20 World Cup,,,,,,,,,,,,,
info,match_number,17,,,,,,,,,,,,,
info,venue,Sharjah Cricket Stadium,,,,,,,,,,,,,
info,city,Sharjah,,,,,,,,,,,,,
info,toss_winner,Afghanistan,,,,,,,,,,,,,
info,toss_decision,bat,,,,,,,,,,,,,
info,player_of_match,Mujeeb Ur Rahman,,,,,,,,,,,,,
info,umpire,HDPK Dharmasena,,,,,,,,,,,,,
info,umpire,P Wilson,,,,,,,,,,,,,
info,reserve_umpire,MA Gough,,,,,,,,,,,,,
info,tv_umpire,RA Kettleborough,,,,,,,,,,,,,
info,match_referee,JJ Crowe,,,,,,,,,,,,,
info,winner,Afghanistan,,,,,,,,,,,,,
info,winner_runs,130,,,,,,,,,,,,,
info,player,Afghanistan,Hazratullah,,,,,,,,,,,,
info,player,Afghanistan,Mohammad Shahzad,,,,,,,,,,,,
info,player,Afghanistan,Rahmanullah Gurbaz,,,,,,,,,,,,
info,player,Afghanistan,Najibullah Zadran,,,,,,,,,,,,
info,player,Afghanistan,Mohammad Nabi,,,,,,,,,,,,
info,player,Afghanistan,Asghar Stanikzai,,,,,,,,,,,,
info,player,Afghanistan,Gulbadin Naib,,,,,,,,,,,,
info,player,Afghanistan,Karim Janat,,,,,,,,,,,,
info,player,Afghanistan,Rashid Khan,,,,,,,,,,,,
info,player,Afghanistan,Naveen-ul-Haq,,,,,,,,,,,,
info,player,Afghanistan,Mujeeb Ur Rahman,,,,,,,,,,,,
info,player,Scotland,HG Munsey,,,,,,,,,,,,
info,player,Scotland,KJ Coetzer,,,,,,,,,,,,
info,player,Scotland,CS MacLeod,,,,,,,,,,,,
info,player,Scotland,RD Berrington,,,,,,,,,,,,
info,player,Scotland,MH Cross,,,,,,,,,,,,
info,player,Scotland,MA Leask,,,,,,,,,,,,
info,player,Scotland,CN Greaves,,,,,,,,,,,,
info,player,Scotland,MRJ Watt,,,,,,,,,,,,
info,player,Scotland,JH Davey,,,,,,,,,,,,
info,player,Scotland,SM Sharif,,,,,,,,,,,,
info,player,Scotland,BTJ Wheal,,,,,,,,,,,,
info,registry,people,Asghar Stanikzai,88679525,,,,,,,,,,,
info,registry,people,BTJ Wheal,3f61a062,,,,,,,,,,,
info,registry,people,CN Greaves,f42064d5,,,,,,,,,,,
info,registry,people,CS MacLeod,9c376401,,,,,,,,,,,
info,registry,people,Gulbadin Naib,9f77963a,,,,,,,,,,,
info,registry,people,HDPK Dharmasena,323e4c16,,,,,,,,,,,
info,registry,people,HG Munsey,ff014c34,,,,,,,,,,,
info,registry,people,Hazratullah,5ea51c25,,,,,,,,,,,
info,registry,people,JH Davey,d3868bd0,,,,,,,,,,,
info,registry,people,JJ Crowe,2e760301,,,,,,,,,,,
info,registry,people,KJ Coetzer,85d8110a,,,,,,,,,,,
info,registry,people,Karim Janat,62175638,,,,,,,,,,,
info,registry,people,MA Gough,76752ac8,,,,,,,,,,,
info,registry,people,MA Leask,28131839,,,,,,,,,,,
info,registry,people,MH Cross,8b261d84,,,,,,,,,,,
info,registry,people,MRJ Watt,1252f71a,,,,,,,,,,,
info,registry,people,Mohammad Nabi,62af8546,,,,,,,,,,,
info,registry,people,Mohammad Shahzad,d6dcb0c9,,,,,,,,,,,
info,registry,people,Mujeeb Ur Rahman,7d92277a,,,,,,,,,,,
info,registry,people,Najibullah Zadran,1212cbec,,,,,,,,,,,
